Index,Word,log freq,nr. of tokens,tokens,word score
444,firefighter,6.598509028614515,2,fire_fighter,-19.48141098022461
445,first,11.337357054268905,1,first,-11.974029541015623
446,fisherman,7.530479995245536,3,f_isher_man,-18.20503616333008
447,fixed,9.763190466997406,1,fixed,-13.68317413330078
448,flag,11.299608474473754,1,flag,-14.051162719726562
449,flattered,6.954638864880987,2,fl_attered,-21.69002914428711
450,flight-attendant,0.0,4,flight_-_att_endant,-27.792856216430664
451,flora,9.15324077993561,2,fl_ora,-18.043750762939453
452,florist,8.00469951054955,3,fl_or_ist,-19.542449951171875
453,flustered,6.742880635791903,3,fl_ust_ered,-19.78657913208008
454,fool,10.481111641840537,2,f_ool,-17.161300659179688
455,fooled,6.472346294500901,3,f_ool_ed,-20.9345703125
456,football,8.186742787113518,1,football,-13.621192932128906
457,foreigner,9.147932911847564,2,foreign_er,-16.320911407470703
458,foreman,8.010027528481734,2,fore_man,-17.348190307617188
459,forger,9.100971834920818,2,for_ger,-19.85321044921875
460,forgot,9.615405400063008,2,for_got,-17.23296356201172
461,forgotten,9.11690842718363,2,for_gotten,-17.416793823242188
462,form,12.96814402855274,1,form,-13.729118347167969
463,fortune-teller,0.0,4,fortune_-_te_ller,-21.57062149047852
464,found,11.55943684420419,1,found,-13.805374145507812
465,frenchman,6.008813185442595,3,f_rench_man,-20.953330993652344
466,freshman,7.427738840532894,2,fresh_man,-17.194873809814453
467,friend,11.226109683846405,1,friend,-15.670661926269531
468,frightened,7.608374474380783,3,f_right_ened,-18.861846923828125
469,fund,11.729028288428134,1,fund,-14.51264190673828
470,funded,6.729824070489475,1,funded,-14.642341613769531
471,funeral,9.224736252259914,2,fun_eral,-17.30333709716797
472,game,10.844509920629466,1,game,-13.213340759277344
473,gangster,7.804251383528112,2,gang_ster,-17.154808044433594
474,garbled,6.52649485957079,2,gar_bled,-20.73010635375977
475,gardener,7.540090320145325,2,gard_ener,-19.984020233154297
476,gave,9.417842227300437,2,g_ave,-17.674152374267578
477,general,11.588181349448996,1,general,-14.286384582519531
478,geneticist,6.529418838262226,3,gen_etic_ist,-19.118690490722656
479,genius,9.06566136060674,2,gen_ius,-17.766220092773438
480,geologist,7.509883061154913,2,ge_ologist,-19.438217163085938
481,ghost,9.846758458290038,1,ghost,-16.156455993652344
482,giraffe,7.494430215031565,3,g_ir_affe,-18.773849487304688
483,girl,10.632098397371642,1,girl,-14.572044372558594
484,girlfriend,6.493753839851686,1,girlfriend,-15.876228332519531
485,given,10.337669684741789,1,given,-14.744377136230469
